"date","close","volume","open","high","low"
"16:00","101.11","3,966,990","105.18","105.97","100.43"
"2018/07/24","101.1100","3966929.0000","105.1850","105.9700","100.4300"
"2018/07/23","106.0400","9745846.0000","104.7800","107.5800","100.0800"
"2018/07/20","93.9300","1629469.0000","93.3900","94.0500","92.5700"
"2018/07/19","93.6900","1236959.0000","93.6300","94.1000","92.4550"
"2018/07/18","93.6400","823309.0000","93.9500","94.3500","93.1500"
"2018/07/17","94.0200","1669354.0000","93.9900","94.5100","93.4705"
"2018/07/16","94.3500","2469611.0000","94.4500","95.1400","93.6700"
"2018/07/13","96.5200","675607.0000","97.1800","97.5300","96.0100"
"2018/07/12","97.4000","794464.0000","97.1100","97.5400","96.9500"
"2018/07/11","96.7300","806792.0000","95.9600","97.1350","95.9600"
"2018/07/10","96.5900","1047289.0000","96.7800","97.3800","96.4700"
"2018/07/09","96.7400","983014.0000","96.1900","97.0400","95.7800"
"2018/07/06","96.0500","1141744.0000","95.7700","96.2600","95.4400"
"2018/07/05","95.3100","1930842.0000","93.1600","95.3800","93.1600"
"2018/07/03","93.1600","1126945.0000","92.8700","93.3400","92.6100"
"2018/07/02","93.0200","2397806.0000","91.7500","93.0500","91.7000"
"2018/06/29","92.3100","1786001.0000","92.9900","93.0000","91.6800"
"2018/06/28","92.0100","1392915.0000","91.0500","92.0200","90.9600"
"2018/06/27","90.9400","1320277.0000","91.2200","91.4500","90.4400"
"2018/06/26","90.9500","654088.0000","91.3000","91.6000","90.5950"
"2018/06/25","91.0200","863191.0000","91.1900","91.5200","90.1900"
"2018/06/22","91.6800","980474.0000","91.8400","92.2200","91.2600"
"2018/06/21","91.6000","836485.0000","91.3600","91.8799","90.6000"
"2018/06/20","91.3000","976563.0000","90.4200","91.5700","89.2550"
"2018/06/19","90.0000","1716190.0000","90.2900","90.4100","88.1500"
"2018/06/18","91.1100","1150685.0000","91.5000","91.9100","90.4300"
"2018/06/15","91.2800","1864075.0000","91.6200","91.6200","90.3300"
"2018/06/14","91.6100","1264313.0000","91.0800","92.0200","90.9000"
"2018/06/13","90.7500","942180.0000","91.0300","91.5500","90.4100"
"2018/06/12","91.2100","833613.0000","90.5700","91.2600","90.1700"
"2018/06/11","90.4300","440204.0000","90.3700","90.8800","90.0500"
"2018/06/08","90.3300","648558.0000","88.8200","90.5000","88.8200"
"2018/06/07","88.8100","648977.0000","88.4500","89.6900","88.2500"
"2018/06/06","88.4300","941166.0000","87.1800","88.4400","86.7500"
"2018/06/05","87.0600","1134961.0000","88.4300","88.6300","86.9401"
